Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,149.31,3,49.77,26.28,66.33,291.346
host,acl,ArgMaxV2_Tiling,13.11,1,13.11,13.11,13.11,0
host,acl,BroadcastTo_Tiling,1214.94,36,33.748,25.1,100.4,157.686
host,acl,Cast_Tiling,9334.37,295,31.642,20.81,138.42,137.135
host,acl,ConcatD_Tiling,47.6,1,47.6,47.6,47.6,0
host,acl,Fill_Tiling,251.42,6,41.903,22.22,93.31,561.754
host,acl,GatherV2_Tiling,173.16,2,86.58,54.29,118.87,1042.644
host,acl,Greater_Tiling,54.06,1,54.06,54.06,54.06,0
host,acl,IndexPutV2_Tiling,437.29,36,12.147,9.92,20.34,8.088
host,acl,Index_Tiling,40.13,4,10.033,8.85,12.79,2.563
host,acl,LogicalNot_Tiling,22.27,1,22.27,22.27,22.27,0
host,acl,MatMulV2_Tiling,982.77,12,81.898,0.69,338.28,10751.882
host,acl,Mul_Tiling,37.57,1,37.57,37.57,37.57,0
host,acl,NonZero_Tiling,208.6,36,5.794,0.97,14.59,18.923
host,acl,ReshapeAndCacheOperation::Execute,32830.5,300,109.435,67.62,390.92,1180.077
host,acl,ReshapeAndCacheOperation::Setup,30089.02,300,100.297,39.84,13159.83,570830.177
host,acl,Sigmoid_Tiling,109.73,1,109.73,109.73,109.73,0
host,acl,Slice_Tiling,1180.98,42,28.119,11.14,74.9,260.895
host,acl,Sub_Tiling,129.06,4,32.265,22.65,38.12,34.99
host,acl,Transpose_Tiling,496.75,46,10.799,0.85,67.76,173.862
host,acl,ZerosLike_Tiling,33.21,1,33.21,33.21,33.21,0
host,acl,aclmdlRICaptureGetInfo,9538.93,3050,3.128,0.96,24.69,1.223
host,acl,aclmdlRIExecuteAsync,49132.34,1225,40.108,15.64,993.26,6963.227
host,acl,aclnnAddRmsNormBias,3222.04,48,67.126,37.07,119.66,232.015
host,acl,aclnnAddRmsNormBiasGetWorkspaceSize,1393.04,48,29.022,20.64,168.89,434.833
host,acl,aclnnAddRmsNormBiasTiling,83.87,1,83.87,83.87,83.87,0
host,acl,aclnnAdds,11591.55,174,66.618,29.68,3000.29,50263.645
host,acl,aclnnAddsGetWorkspaceSize,1470.9,3,490.3,51.79,1361.91,379856.874
host,acl,aclnnArgMax,5150.37,50,103.007,50.56,904.2,14790.614
host,acl,aclnnArgMaxGetWorkspaceSize,2292.69,1,2292.69,2292.69,2292.69,0
host,acl,aclnnBitwiseNot,1219.13,18,67.729,28.55,593.44,16292.2
host,acl,aclnnBitwiseNotGetWorkspaceSize,949.04,1,949.04,949.04,949.04,0
host,acl,aclnnCast,9556.53,168,56.884,24.2,336.12,1216.522
host,acl,aclnnCastGetWorkspaceSize,237.53,5,47.506,38.41,54.42,28.829
host,acl,aclnnCat,1635.7,36,45.436,30.88,145.43,370.352
host,acl,aclnnCatGetWorkspaceSize,55.17,1,55.17,55.17,55.17,0
host,acl,aclnnCausalConv1d,5193.66,18,288.537,220.05,446.28,2538.277
host,acl,aclnnCausalConv1dGetWorkspaceSize,3324.04,18,184.669,123.3,853.9,27119.955
host,acl,aclnnCausalConv1dTiling,56.58,1,56.58,56.58,56.58,0
host,acl,aclnnContiguous,5746.95,30,191.565,110.32,271.92,2245.533
host,acl,aclnnContiguousGetWorkspaceSize,2706.71,30,90.224,53.59,194.17,965.233
host,acl,aclnnCumsum,6441.07,36,178.919,115.44,959.98,17925.13
host,acl,aclnnCumsumGetWorkspaceSize,11608.03,36,322.445,43.36,9805.03,2569168.496
host,acl,aclnnEmbedding,7322.45,50,146.449,33.28,4697.64,423957.656
host,acl,aclnnEmbeddingGetWorkspaceSize,2443.51,2,1221.755,51.02,2392.49,1370620.44
host,acl,aclnnFloorDivides,38087.03,126,302.278,225.83,1093.09,6437.458
host,acl,aclnnFloorDividesGetWorkspaceSize,37775.65,126,299.807,55.46,29666.94,6899534.733
host,acl,aclnnGemmaRmsNorm,1651.32,13,127.025,50.67,224.15,3886.029
host,acl,aclnnGemmaRmsNormGetWorkspaceSize,1194.58,13,91.891,22.11,237.93,4137.426
host,acl,aclnnGemmaRmsNormTiling,149.33,3,49.777,26.97,64.71,268.379
host,acl,aclnnGtScalar,4007.19,3,1335.73,67.21,3861.2,3189021.671
host,acl,aclnnGtScalarGetWorkspaceSize,2898.6,1,2898.6,2898.6,2898.6,0
host,acl,aclnnIndex,5861.46,74,79.209,39.4,583.63,6489.441
host,acl,aclnnIndexGetWorkspaceSize,797.28,4,199.32,64.75,394.04,17227.29
host,acl,aclnnIndexPutImpl,9476.14,36,263.226,190.34,847.75,16000.315
host,acl,aclnnIndexPutImplGetWorkspaceSize,56303.67,36,1563.991,71.69,52954.23,75458512.849
host,acl,aclnnInnerFusedInferAttentionScore,51430.77,300,171.436,124.61,2042.16,12918.189
