Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,1388,47,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774076407919108.700	,1.600,0,1,0,NO,"""1;""",INT64;INT32,ND;ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.041,1718,0.008,0.008,0.262,0.252,0.093,0.089,0.425,0.409,0.179,0.000
0,4294967295,1391,47,aclnnSubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1774076407919416.620	,2.020,306.150000,1,0,NO,"""1;""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.447,2388,0.028,0.019,0.31,0.214,0.562,0.389,0.133,0.092,0.176,0.000
0,4294967295,1393,47,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1774076407932161.520	,1.300,12742.980000,1,0,NO,"""1;1""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,1205,0.028,0.038,0.276,0.378,0.165,0.227,0.102,0.14,0.128,0.000
0,4294967295,1394,47,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1774076407932292.600	,1.820,129.700000,1,0,NO,"""1;1""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,2030,0.028,0.023,0.293,0.238,0.654,0.532,0.096,0.078,0.128,0.000
0,4294967295,1395,47,aclnnGtScalar_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1774076407937800.340	,1.360,5505.930000,1,0,NO,"""1""",INT32,ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764,1261,0.028,0.037,0.295,0.386,0.098,0.128,0.089,0.117,0.147,0.000
0,4294967295,1396,47,aclnnGtScalar_GreaterAiCore_Greater,Greater,dynamic,AI_VECTOR_CORE,1774076407940917.520	,3.100,3115.890000,1,0,NO,"""1;""",INT64;INT64,ND;ND,"""1""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.493,4113,0.618,0.248,0.568,0.228,0.58,0.233,0.113,0.045,0.144,0.000
0,4294967295,1397,47,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774076407941165.520	,2.180,244.900000,2,0,NO,"""1;""",INT64;INT32,ND;ND,"""2048""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,4885,0.04,0.027,0.254,0.172,0.213,0.144,0.338,0.228,0.193,0.000
0,4294967295,1398,47,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774076407941291.600	,1.980,123.820000,2,0,NO,"""1;""",INT64;INT32,ND;ND,"""2048""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.265,4176,0.04,0.032,0.428,0.338,0.106,0.084,0.327,0.259,0.186,0.000
0,4294967295,1399,47,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1774076407942345.820	,1.720,1052.270000,1,0,NO,"""1;1""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,1988,0.028,0.023,0.285,0.236,0.375,0.311,0.122,0.101,0.169,0.000
0,4294967295,1400,47,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1774076407942419.860	,1.680,72.280000,1,0,NO,"""1;1""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.163,1919,0.028,0.024,0.304,0.261,0.572,0.492,0.12,0.103,0.128,0.000
0,4294967295,1401,47,aclnnGtScalar_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1774076407942483.740	,1.200,62.320000,1,0,NO,"""1""",INT32,ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1122,0.028,0.042,0.287,0.422,0.121,0.177,0.093,0.136,0.141,0.000
0,4294967295,1402,47,aclnnGtScalar_GreaterAiCore_Greater,Greater,dynamic,AI_VECTOR_CORE,1774076407942512.600	,2.800,27.550000,1,0,NO,"""1;""",INT64;INT64,ND;ND,"""1""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.265,3737,0.619,0.273,0.681,0.301,0.556,0.245,0.132,0.058,0.133,0.000
0,4294967295,1403,47,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774076407942917.800	,2.120,402.450000,2,0,NO,"""1;""",INT64;INT32,ND;ND,"""2048""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,4390,0.04,0.03,0.427,0.321,0.133,0.1,0.348,0.262,0.204,0.000
0,4294967295,1404,47,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774076407942992.460	,2.000,72.630000,2,0,NO,"""1;""",INT64;INT32,ND;ND,"""2048""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.201,3963,0.04,0.033,0.332,0.277,0.095,0.079,0.328,0.273,0.176,0.000
0,4294967295,1405,47,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1774076407943715.240	,1.580,720.750000,1,0,NO,"""1;1""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1666,0.028,0.028,0.298,0.295,0.401,0.397,0.155,0.153,0.134,0.000
0,4294967295,1406,47,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1774076407943771.020	,2.080,54.170000,1,0,NO,"""1;1""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.593,2629,0.028,0.017,0.422,0.265,0.685,0.43,0.131,0.082,0.167,0.000
0,4294967295,1407,47,aclnnGtScalar_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1774076407943919.340	,1.140,146.170000,1,0,NO,"""1""",INT32,ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1122,0.028,0.042,0.281,0.414,0.11,0.162,0.133,0.196,0.141,0.000
0,4294967295,1408,47,aclnnGtScalar_GreaterAiCore_Greater,Greater,dynamic,AI_VECTOR_CORE,1774076407943927.020	,2.800,6.610000,1,0,NO,"""1;""",INT64;INT64,ND;ND,"""1""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.312,3814,0.612,0.265,0.621,0.269,0.538,0.233,0.316,0.137,0.135,0.000
