Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,MatMulV2,AI_CORE,5456,129489.9,3.18,23.733,699.18,55.507
0,Transpose,AI_VECTOR_CORE,1008,17029.52,8.1,16.894,30.06,7.3
0,fused_sigmoid_gating_delta_rule_update_kernel,AI_VECTOR_CORE,882,11179.24,10.28,12.674,19.86,4.792
0,_causal_conv1d_update_kernel_npu_tiled,AI_VECTOR_CORE,882,6293.2,6.44,7.135,8.36,2.698
0,_layer_norm_fwd_1pass_kernel_npu_0,AI_VECTOR_CORE,882,6266.42,6.72,7.104,8.04,2.686
0,FusedInferAttentionScore,MIX_AIC,300,6024.7,16.14,20.082,25.46,2.583
0,AddRmsNormBias,AI_VECTOR_CORE,2400,5226.56,1.92,2.177,3.9,2.24
0,MatMulCommon,AI_CORE,294,5091.28,6.36,17.317,28.8,2.182
0,FloorDiv,AI_CPU,126,5086.62,24.96,40.37,863.04,2.18
0,SwiGlu,AI_VECTOR_CORE,1200,4562.26,3.14,3.801,5.96,1.956
0,Add,AI_VECTOR_CORE,2526,4228.44,1.3,1.673,2.12,1.813
0,Index,AI_VECTOR_CORE,319,3838.9,9.62,12.034,28.72,1.646
0,Fill,AI_VECTOR_CORE,2524,3681.6,1.22,1.458,2.18,1.578
0,Slice,AI_VECTOR_CORE,1399,3284.98,1.52,2.348,3.64,1.408
0,_triton_mrope_forward_2,AI_VECTOR_CORE,294,3118.46,10.38,10.607,10.96,1.337
0,GemmaRmsNorm,AI_VECTOR_CORE,650,3103.5,2.48,4.774,19.38,1.33
0,Cumsum,AI_CPU,36,1642.46,29.98,45.623,303.96,0.704
0,ArgMaxV2,AI_VECTOR_CORE,50,1600.96,31.28,32.019,32.7,0.686
0,ZerosLike,AI_VECTOR_CORE,851,1245.86,1.24,1.463,2.98,0.534
0,Cast,AI_VECTOR_CORE,509,1226.14,1.02,2.408,12.86,0.526
0,IndexPutV2,AI_VECTOR_CORE,36,1119.86,28.94,31.107,33.68,0.48
0,recompute_w_u_fwd_kernel,MIX_AIC,18,975.54,51.24,54.196,56.88,0.418
0,solve_tril_16x16_kernel,AI_VECTOR_CORE,18,896.74,49.26,49.818,50.86,0.384
0,Sub,AI_VECTOR_CORE,602,824.4,1.2,1.369,2.08,0.353
0,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,300,757.24,2.14,2.524,3.68,0.325
0,SliceAiCore,AI_VECTOR_CORE,245,601.28,1.64,2.454,3.62,0.258
0,GatherV2,AI_VECTOR_CORE,50,579.44,3.84,11.588,13.02,0.248
0,Mul,AI_VECTOR_CORE,251,501.12,1.7,1.996,3.28,0.215
0,IndexAiCore,AI_VECTOR_CORE,49,481.16,9.68,9.819,10.08,0.206
0,Sigmoid,AI_VECTOR_CORE,251,429.22,1.54,1.71,3.42,0.184
0,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,MIX_AIC,18,357.26,18.16,19.847,22.78,0.153
0,chunk_scaled_dot_kkt_fwd_kernel,MIX_AIC,18,332.9,17.16,18.494,20.4,0.143
0,chunk_fwd_kernel_o,MIX_AIC,18,328.22,16.5,18.234,19.66,0.141
0,BroadcastTo,AI_VECTOR_CORE,36,297.42,5.92,8.261,11.64,0.127
0,MemSet,AI_VECTOR_CORE,18,243.3,12.36,13.516,19.12,0.104
0,merge_16x16_to_64x64_inverse_kernel,MIX_AIC,18,229.6,11.12,12.755,17.42,0.098
0,CausalConv1d,AI_VECTOR_CORE,18,201.94,10.02,11.218,11.88,0.087
0,l2norm_fwd_kernel2_loop,AI_VECTOR_CORE,36,196.92,3.12,5.47,8,0.084
0,_layer_norm_fwd_1pass_kernel_npu,AI_VECTOR_CORE,18,128.26,6.84,7.125,7.74,0.055
0,MulAiCore,AI_VECTOR_CORE,49,96.5,1.7,1.969,2.32,0.041
0,SigmoidAiCore,AI_VECTOR_CORE,49,82.42,1.56,1.682,1.86,0.035
0,ZerosLikeAiCore,AI_VECTOR_CORE,49,74.54,1.4,1.521,1.76,0.032
0,_triton_mrope_forward,AI_VECTOR_CORE,6,68.46,11.14,11.41,11.64,0.029
0,ConcatD,AI_VECTOR_CORE,36,64.64,1.62,1.795,2.34,0.028
0,NonZero,MIX_AIV,18,57.46,2.96,3.192,3.58,0.025
0,chunk_local_cumsum_scalar_kernel,AI_VECTOR_CORE,18,52.82,2.78,2.934,3.1,0.023
0,fused_gdn_gating_kernel,AI_VECTOR_CORE,18,52,2.6,2.888,3.52,0.022
0,LogicalNot,AI_VECTOR_CORE,18,24.46,1.24,1.358,1.6,0.01
0,Greater,AI_VECTOR_CORE,3,8.7,2.8,2.9,3.1,0.004
