Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
Event::synchronize,,,187.31,187.31,0,0,0,0
aten::lift_fresh,,,6.42,6.42,0,0,0,0
aten::slice,,,38.31,64.27,0,0,0,0
aten::as_strided,,,25.96,25.96,0,0,0,0
aten::slice,,,6.68,10.75,0,0,0,0
aten::as_strided,,,4.07,4.07,0,0,0,0
aten::slice,,,5.57,9.1,0,0,0,0
aten::as_strided,,,3.53,3.53,0,0,0,0
aten::slice,,,8.16,15.02,0,0,0,0
aten::as_strided,,,6.86,6.86,0,0,0,0
aten::slice,,,4.62,12.26,0,0,0,0
aten::as_strided,,,7.64,7.64,0,0,0,0
aten::copy_,,,88.5,120.37,0,3.02,0,0
acl_memcpy_host_to_device,,,31.87,31.87,3.02,3.02,0,0
aten::slice,,,7.64,13.13,0,0,0,0
aten::as_strided,,,5.49,5.49,0,0,0,0
aten::slice,,,4.08,8.12,0,0,0,0
aten::as_strided,,,4.04,4.04,0,0,0,0
aten::copy_,,,23.46,41.81,0,2.74,0,0
acl_memcpy_host_to_device,,,18.35,18.35,2.74,2.74,0,0
aten::slice,,,6.5,10.9,0,0,0,0
aten::as_strided,,,4.4,4.4,0,0,0,0
aten::slice,,,12.9,16.23,0,0,0,0
aten::as_strided,,,3.33,3.33,0,0,0,0
aten::copy_,,,20.1,39.35,0,2.64,0,0
acl_memcpy_host_to_device,,,19.25,19.25,2.64,2.64,0,0
aten::slice,,,8.3,14.54,0,0,0,0
aten::as_strided,,,6.24,6.24,0,0,0,0
aten::slice,,,3.98,7.18,0,0,0,0
aten::as_strided,,,3.2,3.2,0,0,0,0
aten::copy_,,,22.29,64.17,0,2.54,0,0
acl_memcpy_host_to_device,,,41.88,41.88,2.54,2.54,0,0
aten::slice,,,15.15,24.14,0,0,0,0
aten::as_strided,,,8.99,8.99,0,0,0,0
aten::slice,,,4.77,9.08,0,0,0,0
aten::as_strided,,,4.31,4.31,0,0,0,0
aten::copy_,,,30.48,59.62,0,2.7,0,0
acl_memcpy_host_to_device,,,29.14,29.14,2.7,2.7,0,0
aten::slice,,,6.32,12.17,0,0,0,0
aten::as_strided,,,5.85,5.85,0,0,0,0
aten::slice,,,24.12,27.57,0,0,0,0
aten::as_strided,,,3.45,3.45,0,0,0,0
aten::copy_,,,59.32,78.21,0,2.4,0,0
acl_memcpy_host_to_device,,,18.89,18.89,2.4,2.4,0,0
aten::slice,,,7.34,12.68,0,0,0,0
aten::as_strided,,,5.34,5.34,0,0,0,0
aten::slice,,,3.79,8.02,0,0,0,0
aten::as_strided,,,4.23,4.23,0,0,0,0
aten::copy_,,,23.53,80.56,0,2.82,0,0
acl_memcpy_host_to_device,,,57.03,57.03,2.82,2.82,0,0
aten::slice,,,7.25,12.92,0,0,0,0
aten::as_strided,,,5.67,5.67,0,0,0,0
aten::slice,,,3.53,7.38,0,0,0,0
aten::as_strided,,,3.85,3.85,0,0,0,0
aten::copy_,,,19.81,26.53,0,2.58,0,0
acl_memcpy_host_to_device,,,6.72,6.72,2.58,2.58,0,0
aten::lift_fresh,,,1.33,1.33,0,0,0,0
aten::lift_fresh,,,1.91,1.91,0,0,0,0
aten::flatten,,,10.42,21.69,0,0,0,0
aten::view,,,11.27,11.27,0,0,0,0
aten::slice,,,7.95,11.56,0,0,0,0
aten::as_strided,,,3.61,3.61,0,0,0,0
aten::index_select,,,59.19,59.19,0,0,0,0
aten::copy_,,,33.08,67.87,0,2.62,0,0
acl_memcpy_host_to_device,,,34.79,34.79,2.62,2.62,0,0
aten::copy_,,,23.37,46.05,0,2.62,0,0
acl_memcpy_host_to_device,,,22.68,22.68,2.62,2.62,0,0
aten::slice,,,13.62,18.43,0,0,0,0
aten::as_strided,,,4.81,4.81,0,0,0,0
aten::fill_,,,31.61,31.61,0,0,0,0
aten::copy_,,,26.59,52.28,0,2.68,0,0
acl_memcpy_host_to_device,,,25.69,25.69,2.68,2.68,0,0
aten::slice,,,8.71,14.49,0,0,0,0
aten::as_strided,,,5.78,5.78,0,0,0,0
aten::fill_,,,1678.88,1706.48,0,1.6,0,0
aclnnInplaceFillScalar,,,27.6,27.6,1.6,1.6,0,0
aten::slice,,,11.66,18.63,0,0,0,0
aten::as_strided,,,6.97,6.97,0,0,0,0
aten::slice,,,4.67,8.04,0,0,0,0
aten::as_strided,,,3.37,3.37,0,0,0,0
aten::copy_,,,26.29,32.5,0,3.06,0,0
acl_memcpy_host_to_device,,,6.21,6.21,3.06,3.06,0,0
aten::alias,,,8.94,8.94,0,0,0,0
aten::slice,,,7.35,13.1,0,0,0,0
aten::as_strided,,,5.75,5.75,0,0,0,0
aten::copy_,,,31.04,31.04,0,0,0,0
aten::copy_,,,25.0,30.78,0,4.78,0,0
acl_memcpy_host_to_device,,,5.78,5.78,4.78,4.78,0,0
aten::slice,,,8.08,13.47,0,0,0,0
aten::as_strided,,,5.39,5.39,0,0,0,0
aten::slice,,,4.48,8.16,0,0,0,0
aten::as_strided,,,3.68,3.68,0,0,0,0
aten::copy_,,,3.73,3.73,0,0,0,0
aten::slice,,,5.12,9.19,0,0,0,0
aten::as_strided,,,4.07,4.07,0,0,0,0
aten::sub,,,1329.25,1379.93,0,2.02,0,0
empty_tensor,,,35.47,35.47,0,0,0,0
aten::item,,,5.33,9.16,0,0,0,0
aten::_local_scalar_dense,,,3.83,3.83,0,0,0,0
aclnnSubs,,,6.05,6.05,2.02,2.02,0,0
aten::slice,,,15.72,24.67,0,0,0,0
aten::as_strided,,,8.95,8.95,0,0,0,0
aten::slice,,,4.71,7.55,0,0,0,0
aten::as_strided,,,2.84,2.84,0,0,0,0
aten::slice,,,23.5,25.55,0,0,0,0
aten::as_strided,,,2.05,2.05,0,0,0,0
aten::fill_,,,78.27,83.89,0,0,0,0
aclnnInplaceFillScalar,,,5.62,5.62,0,0,0,0
aten::slice,,,7.47,12.6,0,0,0,0
aten::as_strided,,,5.13,5.13,0,0,0,0
aten::fill_,,,47.6,51.86,0,0,0,0
aclnnInplaceFillScalar,,,4.26,4.26,0,0,0,0
aten::slice,,,6.93,11.23,0,0,0,0
aten::as_strided,,,4.3,4.3,0,0,0,0
aten::slice,,,5.28,8.6,0,0,0,0
aten::as_strided,,,3.32,3.32,0,0,0,0
aten::slice,,,4.12,7.95,0,0,0,0
aten::as_strided,,,3.83,3.83,0,0,0,0
aten::slice,,,3.54,4.99,0,0,0,0
aten::as_strided,,,1.45,1.45,0,0,0,0
aten::slice,,,3.5,5.05,0,0,0,0
aten::as_strided,,,1.55,1.55,0,0,0,0
aten::slice,,,7.39,10.1,0,0,0,0
aten::as_strided,,,2.71,2.71,0,0,0,0
aten::slice,,,22.02,23.48,0,0,0,0
aten::as_strided,,,1.46,1.46,0,0,0,0
aten::slice,,,4.29,5.81,0,0,0,0
aten::as_strided,,,1.52,1.52,0,0,0,0
aten::sub,,,28.98,28.98,0,0,0,0
aten::gt,,,41.35,125.02,0,0,0,0
aten::to,,,6.03,83.67,0,0,0,0
aten::_to_copy,,,57.08,77.64,0,0,0,0
aten::empty_strided,,,8.69,8.69,0,0,0,0
aten::copy_,,,11.87,11.87,0,0,0,0
aten::any,,,22.41,36.48,0,0,0,0
aten::view_as,,,4.17,7.23,0,0,0,0
aten::view,,,3.06,3.06,0,0,0,0
aten::to,,,0.85,0.85,0,0,0,0
aten::copy_,,,5.99,5.99,0,0,0,0
aten::is_nonzero,,,4.85,9.85,0,0,0,0
aten::item,,,2.85,5.0,0,0,0,0
aten::_local_scalar_dense,,,2.15,2.15,0,0,0,0
aten::to,,,1.39,24.35,0,0,0,0
aten::_to_copy,,,4.71,22.96,0,0,0,0
aten::empty_strided,,,3.6,3.6,0,0,0,0
aten::copy_,,,14.65,14.65,0,0,0,0
aten::argmax,,,21.02,22.8,0,0,0,0
aten::fill_,,,1.78,1.78,0,0,0,0
aten::item,,,1.71,3.29,0,0,0,0
aten::_local_scalar_dense,,,1.58,1.58,0,0,0,0
aten::select,,,15.98,18.69,0,0,0,0
aten::as_strided,,,2.71,2.71,0,0,0,0
aten::item,,,1.38,2.73,0,0,0,0
aten::_local_scalar_dense,,,1.35,1.35,0,0,0,0
aten::slice,,,5.66,7.5,0,0,0,0
aten::as_strided,,,1.84,1.84,0,0,0,0
aten::slice,,,3.57,10.65,0,0,0,0
aten::as_strided,,,7.08,7.08,0,0,0,0
aten::ones,,,15.46,2068.24,0,0,0,0
aten::empty,,,8.56,8.56,0,0,0,0
aten::fill_,,,2044.22,2044.22,0,0,0,0
aten::triu,,,5803.5,5803.5,0,0,0,0
aten::to,,,6.27,2654.34,0,0,0,0
aten::_to_copy,,,14.41,2648.07,0,0,0,0
aten::empty_strided,,,10.93,10.93,0,0,0,0
aten::copy_,,,2622.73,2622.73,0,0,0,0
aten::to,,,9.04,1121.35,0,0,0,0
aten::_to_copy,,,21.49,1112.31,0,0,0,0
aten::empty_strided,,,48.16,69.59,0,0,0,0
empty_tensor,,,21.43,21.43,0,0,0,0
aten::copy_,,,1021.23,1021.23,0,0,0,0
aten::pin_memory,,,11.93,20.96,0,0,0,0
aten::is_pinned,,,9.03,9.03,0,0,0,0
aten::to,,,4.69,110.17,0,2.74,0,0
aten::_to_copy,,,8.66,105.48,0,2.74,0,0
aten::empty_strided,,,16.97,27.35,0,0,0,0
empty_tensor,,,10.38,10.38,0,0,0,0
aten::copy_,,,36.53,69.47,0,2.74,0,0
acl_memcpy_host_to_device,,,32.94,32.94,2.74,2.74,0,0
aten::resolve_conj,,,3.88,3.88,0,0,0,0
aten::resolve_neg,,,1.26,1.26,0,0,0,0
aten::slice,,,17.5,23.55,0,0,0,0
aten::as_strided,,,6.05,6.05,0,0,0,0
aten::resolve_conj,,,0.95,0.95,0,0,0,0
aten::resolve_neg,,,0.39,0.39,0,0,0,0
aten::slice,,,8.47,16.59,0,0,0,0
aten::as_strided,,,8.12,8.12,0,0,0,0
aten::slice,,,4.6,8.3,0,0,0,0
aten::as_strided,,,3.7,3.7,0,0,0,0
aten::slice,,,3.98,6.95,0,0,0,0
aten::as_strided,,,2.97,2.97,0,0,0,0
aten::fill_,,,39.16,63.82,0,0,0,0
aclnnInplaceFillScalar,,,24.66,24.66,0,0,0,0
aten::slice,,,5.09,8.41,0,0,0,0
aten::as_strided,,,3.32,3.32,0,0,0,0
aten::fill_,,,91.79,114.11,0,0,0,0
aclnnInplaceFillScalar,,,22.32,22.32,0,0,0,0
aten::slice,,,7.89,12.86,0,0,0,0
aten::as_strided,,,4.97,4.97,0,0,0,0
aten::slice,,,3.38,5.67,0,0,0,0
aten::as_strided,,,2.29,2.29,0,0,0,0
aten::sub,,,143.15,181.27,0,1.3,0,0
empty_tensor,,,15.01,15.01,0,0,0,0
aclnnSub,,,23.11,23.11,1.3,1.3,0,0
aten::sub,,,81.79,101.38,0,1.82,0,0
empty_tensor,,,13.37,13.37,0,0,0,0
aclnnSub,,,6.22,6.22,1.82,1.82,0,0
aten::slice,,,8.67,13.11,0,0,0,0
aten::as_strided,,,4.44,4.44,0,0,0,0
aten::slice,,,3.71,5.16,0,0,0,0
aten::as_strided,,,1.45,1.45,0,0,0,0
aten::sub,,,26.26,26.26,0,0,0,0
aten::select,,,10.27,12.79,0,0,0,0
aten::as_strided,,,2.52,2.52,0,0,0,0
aten::item,,,4.83,8.34,0,0,0,0
aten::_local_scalar_dense,,,3.51,3.51,0,0,0,0
aten::select,,,6.95,12.04,0,0,0,0
aten::as_strided,,,5.09,5.09,0,0,0,0
aten::gt,,,4751.57,4794.77,0,4.46,0,0
empty_tensor,,,18.95,18.95,0,0,0,0
aclnnGtScalar,,,24.25,24.25,4.46,4.46,0,0
aten::diff,,,15.89,67.84,0,0,0,0
aten::narrow,,,19.19,29.28,0,0,0,0
aten::slice,,,5.78,10.09,0,0,0,0
aten::as_strided,,,4.31,4.31,0,0,0,0
aten::narrow,,,2.49,4.85,0,0,0,0
aten::slice,,,1.36,2.36,0,0,0,0
aten::as_strided,,,1.0,1.0,0,0,0,0
aten::sub,,,17.82,17.82,0,0,0,0
aten::neg,,,56.01,56.01,0,0,0,0
aten::floor_divide,,,24.88,54.68,0,0,0,0
aten::to,,,2.63,25.69,0,0,0,0
aten::_to_copy,,,7.21,23.06,0,0,0,0
aten::empty_strided,,,5.08,5.08,0,0,0,0
aten::copy_,,,10.77,10.77,0,0,0,0
aten::empty,,,4.11,4.11,0,0,0,0
aten::neg,,,5.26,5.26,0,0,0,0
aten::sum,,,5.61,68.09,0,0,0,0
aten::sum,,,44.28,62.48,0,0,0,0
aten::as_strided,,,2.43,2.43,0,0,0,0
aten::to,,,1.51,13.23,0,0,0,0
aten::_to_copy,,,3.06,11.72,0,0,0,0
aten::empty_strided,,,2.1,2.1,0,0,0,0
aten::copy_,,,6.56,6.56,0,0,0,0
aten::fill_,,,2.54,2.54,0,0,0,0
aten::item,,,3.17,5.94,0,0,0,0
aten::_local_scalar_dense,,,2.77,2.77,0,0,0,0
aten::detach,,,6.59,6.59,0,0,0,0
aten::to,,,2.25,2.25,0,0,0,0
aten::resolve_conj,,,1.11,1.11,0,0,0,0
